Year,FUS,TAF15,EWSR1,HNRPDL,HNRNPD,HNRNPA2B1,HNRNPA1,HNRNPAB,HNRNPA3,TDP-43,TIA1,HNRNPA1L2,HNRNPH1,SFPQ,HNRNPA0,HNRNPH2,DAZ2,RBM14,CSTF2,DAZ3,DAZ4,DAZ1,HNRNPH3,CSTF2T,CELF4,TIAL1,RBM33,DAZAP1,PSPC1,
0,2.476,1.596,5.802,8.095,8.169,3.116,2.957,6.024,2.116,6.280,6.736,3.438,6.459,5.658,6.557,6.236,7.527,19.58,9.705,7.819,6.736,6.452,4.624,6.981,13.17,6.933,5.043,6.143,8.604,
1,7.048,10.37,6.870,7.857,3.944,7.082,6.720,4.518,7.672,4.831,3.368,6.875,6.904,8.487,5.246,6.904,2.330,6.129,7.106,2.675,3.627,3.898,8.092,6.494,3.498,3.200,6.410,4.423,9.943,
2,4.571,4.189,2.595,4.286,4.507,5.382,5.645,5.120,4.497,6.763,5.699,5.312,4.232,1.980,3.607,3.786,5.556,2.541,3.120,6.379,5.872,5.914,4.624,2.273,4.527,4.800,2.650,3.194,3.824,
3,4.762,9.441,4.885,4.762,4.225,4.816,4.839,4.518,5.291,5.314,3.627,5.625,5.345,3.112,3.934,5.345,1.075,2.840,3.293,1.235,1.727,1.882,7.225,3.734,3.498,4.267,3.761,4.423,3.824,
4,9.905,5.718,9.008,6.667,5.070,2.833,3.226,5.422,3.175,5.797,9.067,3.438,4.009,6.931,3.279,3.563,10.75,7.474,7.799,10.49,9.326,8.871,2.312,7.955,8.436,8.267,10.68,7.125,5.545,
5,2.095,2.394,2.290,5.476,8.451,6.232,4.839,8.133,5.820,5.314,4.404,5.312,6.904,8.204,4.262,6.904,1.792,2.392,6.586,2.058,2.936,3.226,4.046,5.519,3.909,4.267,7.863,3.440,11.47,
6,28.95,31.58,20.0,12.14,16.34,24.36,25.00,17.17,27.25,13.29,9.585,19.69,14.70,15.13,26.23,14.48,5.376,9.118,12.48,5.556,6.390,6.720,24.28,14.94,9.259,9.600,6.410,14.50,9.369,
7,0.5714,0.9973,0.6107,1.905,1.408,1.983,2.151,1.205,1.852,1.208,2.073,2.500,2.673,2.546,2.623,2.673,1.075,1.046,1.560,1.235,1.727,1.882,2.890,1.461,1.852,2.133,4.103,1.474,1.721,
8,1.524,1.330,0.4580,3.095,2.817,2.550,2.151,3.012,1.852,3.382,4.145,2.500,3.341,1.697,1.967,2.895,2.151,0.8969,3.293,2.469,3.800,4.301,4.046,5.357,4.115,4.00,2.735,2.457,2.868,
9,0.5714,0.3324,2.137,5.476,2.535,2.833,2.151,2.711,2.116,5.072,3.368,2.500,4.900,4.526,3.279,5.122,3.943,5.531,7.279,3.498,3.800,3.763,3.468,7.468,6.996,3.467,7.692,1.966,6.692,
10,2.667,2.660,2.748,6.667,9.014,5.382,4.839,8.735,5.556,4.831,4.922,5.938,3.563,4.668,5.902,3.563,1.971,2.840,2.253,2.263,3.627,4.167,2.312,2.597,4.321,5.600,4.103,4.423,4.589,
11,1.524,1.197,3.206,1.190,2.254,1.983,1.613,2.108,1.852,4.348,3.886,1.875,3.341,3.960,0.9836,4.009,0.5376,1.943,6.066,0.6173,0.6908,0.6720,4.913,5.032,5.350,3.200,2.051,1.966,5.545,
12,2.476,2.261,2.290,3.571,3.944,5.382,6.183,3.916,5.026,5.314,4.145,6.875,5.568,2.970,4.918,5.345,5.914,2.242,1.213,5.761,4.836,4.570,4.624,1.136,4.733,4.800,2.735,5.897,4.398,
13,5.143,3.125,11.60,6.190,2.817,4.249,2.688,5.120,3.968,3.865,5.959,3.125,3.786,16.27,2.295,3.786,13.62,6.726,11.96,13.17,11.74,11.29,3.757,12.18,9.053,6.933,15.64,16.46,9.178,
14,12.95,9.441,8.702,7.619,7.887,7.082,11.29,5.723,6.614,9.903,7.513,10.0,8.241,5.233,9.836,9.131,6.452,13.15,5.719,5.556,6.563,6.855,5.491,6.331,6.584,7.200,7.009,6.388,3.442,
15,3.619,2.128,6.870,4.286,4.225,3.399,3.226,3.916,3.175,3.623,6.218,4.375,3.563,3.253,2.295,3.786,6.810,4.036,2.946,6.173,6.390,6.452,2.601,3.571,3.704,5.867,4.359,4.177,3.633,
16,0.5714,0.3989,0.4580,0.7143,1.408,0.2833,0.2688,1.205,0.2646,1.449,2.591,0.3125,0.4454,0.1414,0.3279,0.4454,0.8961,0.1495,0,1.029,1.209,1.210,0.5780,0,0,2.400,0.2564,1.474,0.1912,
17,6.857,8.910,6.412,5.714,5.915,6.232,5.108,6.325,5.820,1.932,4.404,3.750,5.345,1.980,4.918,5.568,11.83,7.025,1.213,11.11,7.772,6.452,6.647,1.136,2.881,4.267,0.9402,3.440,1.147,
18,0.9524,1.130,2.290,3.571,4.225,4.533,4.570,4.518,5.026,6.039,6.736,5.625,5.568,2.970,6.557,5.345,9.498,3.886,6.066,9.877,10.02,10.22,3.179,5.195,2.881,7.200,5.128,5.651,3.633,
19,0.7619,0.7979,0.7634,0.7143,0.8451,0.2833,0.5376,0.6024,1.058,1.449,1.554,0.9375,1.114,0.2829,0.9836,1.114,0.8961,0.4484,0.3466,1.029,1.209,1.210,0.2890,0.6494,1.235,1.600,0.4274,0.9828,0.3824,
